position,word,function,sentence,critical
1,the,DT,1,no
2,horse,NN,1,no
3,raced,XX,1,1
4,past,IN,1,no
5,the,DT,1,no
6,barn,NN,1,no
7,fell,VBD,1,no
8,.,.,1,no
1,the,DT,2,no
2,horse,NN,2,no
3,which,WDT,2,no
4,was,VBD,2,no
5,raced,XX,2,no
6,past,IN,2,no
7,the,DT,2,no
8,barn,NN,2,no
9,fell,VBD,2,no
10,.,.,2,no
1,while,IN,3,no
2,she,PRP,3,no
3,mended,VBD,3,no
4,the,DT,3,3
5,sock,NN,3,no
6,fell,VBD,3,3
7,on,IN,3,no
8,the,DT,3,no
9,floor,NN,3,no
10,.,.,3,no
1,while,IN,4,no
2,she,PRP,4,no
3,mended,VBD,4,no
4,",",",",4,no
5,the,DT,4,no
6,sock,NN,4,no
7,fell,VBD,4,no
8,on,IN,4,no
9,the,DT,4,no
10,floor,NN,4,no
11,.,.,4,no
1,while,IN,11,no
2,she,PRP,11,no
3,mended,VBD,11,no
4,the,DT,11,no
5,sock,NN,11,no
6,",",",",11,no
7,it,PRP,11,no
8,fell,VBD,11,no
9,on,IN,11,no
10,the,DT,11,no
11,floor,NN,11,no
12,.,.,11,no
1,he,PRP,5,no
2,convinced,VBD,5,no
3,her,XX,5,no
4,tired,JJ,5,no
5,children,NNS,5,no
6,are,VBP,5,5
7,noisy,JJ,5,no
8,.,.,5,no
1,he,PRP,6,no
2,convinced,VBD,6,no
3,her,XX,6,no
4,that,IN,6,no
5,tired,JJ,6,no
6,children,NNS,6,no
7,are,VBP,6,no
8,noisy,JJ,6,no
9,.,.,6,no
1,she,PRP,7,no
2,gave,VBD,7,no
3,the,DT,7,no
4,boy,NN,7,no
5,the,DT,7,no
6,dog,NN,7,no
7,bit,VBD,7,7
8,a,DT,7,no
9,bandage,NN,7,no
10,.,.,7,no
1,she,PRP,8,no
2,gave,VBD,8,no
3,the,DT,8,no
4,boy,NN,8,no
5,that,IN,8,no
6,the,DT,8,no
7,dog,NN,8,no
8,bit,VBD,8,no
9,a,DT,8,no
10,bandage,NN,8,no
11,.,.,8,no
1,without,IN,9,no
2,her,XX,9,no
3,rich,JJ,9,no
4,contributions,NNS,9,no
5,will,MD,9,9
6,be,VB,9,no
7,inadequate,JJ,9,no
8,.,.,9,no
1,without,IN,10,no
2,her,XX,10,no
3,",",",",10,no
4,rich,JJ,10,no
5,contributions,NNS,10,no
6,will,MD,10,no
7,be,VB,10,no
8,inadequate,JJ,10,no
9,.,.,10,no
